id,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,points_per_game,second_name,selected_by_percent,team,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,starts_per_90,clean_sheets_per_90,singular_name_short
554,,,0,-0.3,-0.8,0,José,-0.3,False,,,45,0.5,Malheiro de Sá,1.8,20,1,26219,1113,76330,11220,-0.1,0.2,José Sá,180,0,0,0,8,0,0,0,0,0,6,0,2,0.00,0.01,0.01,2.80,0.0,3.0,0.0,0.0,1.4,4.0,1.0,0.0,GKP
555,0.0,0.0,0,0.0,0.0,0,Saša,0.0,False,Knee injury - Unknown return date,2024-08-22T10:59:37.463254Z,49,0.0,Kalajdžić,0.1,20,0,1360,170,6470,494,0.0,0.0,Kalajdžić,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FWD
556,,,0,0.0,-0.5,0,Tom,0.0,False,,,40,0.0,King,1.5,20,0,38922,4281,22929,3162,0.0,0.0,King,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GKP
557,100.0,75.0,1,5.7,3.9,10,Mario,5.7,False,,2024-09-08T23:00:07.102123Z,50,4.8,Lemina,0.3,20,19,19148,15735,8497,2246,1.1,3.8,Mario Jr.,359,1,1,0,11,0,0,0,1,0,0,4,4,0.51,0.33,0.84,5.05,0.13,0.0,0.08,0.21,1.27,2.76,1.0,0.0,MID
558,100.0,75.0,0,0.3,-0.2,1,Yerson,0.3,False,,2024-09-11T13:00:07.093180Z,40,0.5,Mosquera,1.2,20,2,105044,7141,52008,5201,0.1,0.5,Mosquera,360,0,0,0,11,0,0,0,1,0,0,0,4,0.33,0.02,0.35,5.05,0.08,0.0,0.0,0.08,1.26,2.75,1.0,0.0,DEF
559,100.0,100.0,0,1.0,0.5,1,Nélson,1.0,False,,2024-07-17T13:30:05.075471Z,45,1.5,Cabral Semedo,0.1,20,3,4131,1253,1605,480,0.2,0.7,N.Semedo,150,0,0,0,2,0,0,0,1,0,0,0,2,0.01,0.13,0.14,1.44,0.01,0.0,0.08,0.09,0.86,1.2,1.2,0.0,DEF
561,,,0,0.0,-0.5,0,Pedro,0.0,False,,,40,0.0,Cardoso de Lima,1.6,20,0,50798,5401,46301,5707,0.0,0.0,Pedro Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF
562,0.0,0.0,0,0.0,0.0,0,Daniel,0.3,False,Transferred to Al-Shabab,2024-09-05T10:36:18.217223Z,55,1.0,Castelo Podence,0.0,20,2,1049,0,3663,686,0.1,0.4,Podence,46,0,0,0,2,0,0,0,0,0,0,0,0,0.04,0.01,0.05,0.70,0.08,0.0,0.02,0.1,1.37,3.91,0.0,0.0,MID
563,,,0,0.3,-0.2,0,Rodrigo,0.3,False,,,54,1.5,Martins Gomes,0.1,20,3,1609,133,7729,921,0.1,0.6,R.Gomes,96,0,0,0,3,0,0,0,0,0,0,0,1,0.06,0.01,0.07,1.50,0.06,0.0,0.01,0.07,1.41,2.81,0.94,0.0,MID
564,,,0,0.0,-0.5,0,Santiago,0.0,False,,,44,0.0,Bueno,0.1,20,0,731,159,3095,321,0.0,0.0,S.Bueno,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEF
